geo|account_currency|login|paymethod|payment_name|currency|deposit|withdraw|status|conditions|min_dep|is_recommended
FI|EUR|0depnoafffieurdesk|N26 Bank|N26_Impaya_Banks|EUR|YES|NO|PROD||20 EUR|NO
FI|EUR|0depnoafffieurdesk|Neteller|Neteller_Utorg_Wallet_1DEP//colorlogo|EUR|YES|YES|PROD|1DEP|15 EUR|NO
FI|EUR|0depnoafffieurdesk|Neteller|Neteller_Utorg_Wallet_3DEP|EUR|YES|YES|PROD|3DEP|15 EUR|NO
FI|EUR|0depnoafffieurdesk|Neteller|Neteller_Skrill_Wallet|EUR|YES|YES|PROD||15 EUR|NO
FI|EUR|0depnoafffieurdesk|NTLR|Neteller_Utorg_Wallet_0DEP//greylogo|EUR|YES|NO|PROD|0DEP|20 EUR|NO
FI|EUR|0depnoafffieurdesk|Pay by Bank|Paybybank_Payop_Banks_AT|EUR|YES|NO|PROD||20 EUR|NO
FI|EUR|0depnoafffieurdesk|Pay by Bank|Openbanking_Rillpay_Banks_EU|EUR|YES|NO|PROD||20 EUR|NO
FI|EUR|0depnoafffieurdesk|paymentTest|paymentTest//delete|EUR|YES|NO|PROD||20 EUR|NO
FI|EUR|0depnoafffieurdesk|paymentTest|paymentTest|EUR|YES|NO|PROD||20 EUR|NO
FI|EUR|0depnoafffieurdesk|paymentTestDummy|PaymentTestDummy|EUR|YES|NO|PROD||20 EUR|NO
FI|EUR|0depnoafffieurdesk|Paysafecard|Paysafecard_Utorg_Voucher_1DEP//colorlogo|EUR|YES|NO|PROD|1DEP|15 EUR|NO
FI|EUR|0depnoafffieurdesk|Paysafecard|Paysafecard_Utorg_Voucher_3DEP|EUR|YES|NO|PROD|3DEP|15 EUR|NO
FI|EUR|0depnoafffieurdesk|Paysafecard|Paysafecard_Utorg_Voucher_0DEP//greylogo|EUR|YES|NO|PROD|0DEP|15 EUR|NO
FI|EUR|0depnoafffieurdesk|Paysafecard|Paysafecard_Skrill_Voucher|EUR|YES|NO|PROD||15 EUR|NO
FI|EUR|0depnoafffieurdesk|Raiffeisenbanken|raiffeisenbanken_nodapay_Banks_0DEP//DE|EUR|YES|NO|PROD|0DEP|20 EUR|NO
FI|EUR|0depnoafffieurdesk|Revolut|Revolut_Payop_Banks|EUR|YES|NO|PROD||20 EUR|NO
FI|EUR|0depnoafffieurdesk|Revolut|Revolut_Impaya_Banks_1DEP//DE|EUR|YES|NO|PROD|1DEP|20 EUR|NO
FI|EUR|0depnoafffieurdesk|Revolut|Revolut_Impaya_Banks|EUR|YES|NO|PROD||20 EUR|NO
FI|EUR|0depnoafffieurdesk|Skrill|Skrill_Skrill_Wallet|EUR|YES|YES|PROD||15 EUR|NO
FI|EUR|0depnoafffieurdesk|Skrill|Skrill_Utorg_Wallet_1DEP//colorlogo|EUR|YES|YES|PROD|1DEP|15 EUR|NO
FI|EUR|0depnoafffieurdesk|Skrill|Skrill_Utorg_Wallet_3DEP|EUR|YES|YES|PROD|3DEP|15 EUR|NO
FI|EUR|0depnoafffieurdesk|SKRL|Skrill_Utorg_Wallet_0DEP//greylogo|EUR|YES|NO|PROD|0DEP|20 EUR|NO
FI|EUR|0depnoafffieurdesk|Sofort|Sofort_Gate2Wayvip_Banks_3DEP|EUR|YES|NO|PROD|3DEP|20 EUR|NO
FI|EUR|0depnoafffieurdesk|SOL - Solana|SOL_Coinspaid_Cryptopay_Solana|EUR|YES|YES|PROD||—|NO
FI|EUR|0depnoafffieurdesk|Sparkasse|sparkasse_nodapay_Banks_0DEP//DE|EUR|YES|NO|PROD|0DEP|20 EUR|NO
FI|EUR|0depnoafffieurdesk|SticPay|Sticpay_Sticpay_Wallet|EUR|YES|YES|PROD||20 EUR|NO
FI|EUR|0depnoafffieurdesk|TON - Toncoin|TON_Coinspaid_Cryptopay_Toncoin|EUR|YES|YES|PROD||—|NO
FI|EUR|0depnoafffieurdesk|Trustly|Trustly_Rizonpay_Banks_3DEP|EUR|YES|NO|PROD|3DEP|20 EUR|NO
FI|EUR|0depnoafffieurdesk|Trustly|Trustly_Rizonpay_Banks_0DEP//mob//aff|EUR|YES|NO|PROD|0DEP+AFF+MOB|20 EUR|NO
FI|EUR|0depnoafffieurdesk|Trustly|Trustly_Rizonpay_Banks|EUR|YES|NO|PROD||20 EUR|NO
FI|EUR|0depnoafffieurdesk|TRX - Tron|TRX_Coinspaid_Cryptopay_Tron|EUR|YES|YES|PROD||—|NO
FI|EUR|0depnoafffieurdesk|USDC - USD Coin|USDC_Coinspaid_Cryptopay_USD Coin|EUR|YES|YES|PROD||—|NO
FI|EUR|0depnoafffieurdesk|USDT  -  Tether USD (ERC20)|USDTE_Coinspaid_Cryptopay_TetherERC20|EUR|YES|YES|PROD||—|NO
FI|EUR|0depnoafffieurdesk|USDT -  Tether USD (TRC20)|USDTT_Coinspaid_Cryptopay_TetherTRC20|EUR|YES|YES|PROD||20 EUR|NO
FI|EUR|0depnoafffieurdesk|Wise|Wise_Impaya_Banks|EUR|YES|NO|PROD||20 EUR|NO
FI|EUR|0depnoafffieurdesk|XRP - Ripple|Ripple_Coinspaid_Cryptopay_XRP|EUR|YES|YES|PROD||—|NO
