Position,Title,Name,Category,Traffic Level,Device,Affiliate,Additional Settings,Min Deposit,Currency,Display Type,Parent System,Recommended,Full Name
74,CASHlib,CASHlib_CASHlib_Voucher,Regular,No Settings,Any,Any,None,Not Set,EUR,unknown,None,No,CASHlib_CASHlib_Voucher
75,Neteller,Neteller_Utorg_Wallet_1DEP//colorlogo,Regular,1DEP,Any,Any,Color Logo,Not Set,EUR,unknown,None,No,Neteller_Utorg_Wallet_1DEP//colorlogo
76,Apple pay,Applepay_Rastpay_Cards_2DEP//MC//new,Regular,2DEP,Any,Any,New Version,Not Set,EUR,unknown,None,No,Applepay_Rastpay_Cards_2DEP//MC//new
77,Neteller,Neteller_Utorg_Wallet_3DEP,Regular,3DEP,Any,Any,None,Not Set,EUR,unknown,None,No,Neteller_Utorg_Wallet_3DEP
78,Revolut,Revolut_Impaya_Banks_1DEP//DE,Regular,1DEP,Any,Any,Germany,Not Set,EUR,unknown,None,No,Revolut_Impaya_Banks_1DEP//DE
79,Revolut,Revolut_Impaya_Banks,Regular,No Settings,Any,Any,None,Not Set,EUR,unknown,None,No,Revolut_Impaya_Banks
80,Neosurf,Neosurf_Neosurf_Voucher,Regular,No Settings,Any,Any,None,Not Set,CAD,unknown,None,Yes,Neosurf_Neosurf_Voucher
81,Neosurf,Neosurf_Payop_Voucher,Regular,No Settings,Any,Any,None,Not Set,EUR,unknown,None,No,Neosurf_Payop_Voucher
82,ApplePay Visa,Applepay_Gumballpay_Cards_1DEP,Regular,1DEP,Any,Any,None,Not Set,EUR,unknown,None,No,Applepay_Gumballpay_Cards_1DEP
83,RapidTransfer,Rapidtransfer_Utorg_Banks_0DEP//greylogo,Regular,0DEP,Any,Any,Grey Logo,Not Set,EUR,unknown,None,No,Rapidtransfer_Utorg_Banks_0DEP//greylogo
84,ApplePay Visa/MC,Applepay_Gumballpay_Cards_1DEP//SE,Regular,1DEP,Any,Any,Sweden,Not Set,EUR,unknown,None,No,Applepay_Gumballpay_Cards_1DEP//SE
85,ApplePay Visa/MC,Applepay_Lancelot_Cards_3DEP,Regular,3DEP,Any,Any,None,Not Set,EUR,unknown,None,No,Applepay_Lancelot_Cards_3DEP
86,Bank Transfer,Openbanking_Gumballpay_Banks,Regular,No Settings,Any,Any,None,Not Set,EUR,unknown,None,No,Openbanking_Gumballpay_Banks
87,NTLR,Neteller_Utorg_Wallet_0DEP//greylogo,Regular,0DEP,Any,Any,Grey Logo,Not Set,EUR,unknown,None,No,Neteller_Utorg_Wallet_0DEP//greylogo
88,Bank Transfer,Banktransfer_Payop_Banks,Regular,No Settings,Any,Any,None,Not Set,EUR,unknown,None,No,Banktransfer_Payop_Banks
89,Skrill,Skrill_Utorg_Wallet_1DEP//colorlogo,Regular,1DEP,Any,Any,Color Logo,Not Set,EUR,unknown,None,No,Skrill_Utorg_Wallet_1DEP//colorlogo
90,CashtoCode,Cashtocode_Cashtocode_Voucher,Regular,No Settings,Any,Any,None,Not Set,AUD,unknown,None,No,Cashtocode_Cashtocode_Voucher
91,SticPay,Sticpay_Sticpay_Wallet,Regular,No Settings,Any,Any,None,Not Set,EUR,unknown,None,No,Sticpay_Sticpay_Wallet
92,GooglePay,Googlepay_Impaya_Cards_3DEP,Regular,3DEP,Any,Any,None,Not Set,EUR,unknown,None,No,Googlepay_Impaya_Cards_3DEP
93,ApplePay Mastercard,Applepay_Rastpay_Cards_0DEP//aff//mob,Regular,0DEP,Mobile,Affiliate,None,Not Set,EUR,unknown,None,No,Applepay_Rastpay_Cards_0DEP//aff//mob
94,Skrill,Skrill_Utorg_Wallet_3DEP,Regular,3DEP,Any,Any,None,Not Set,EUR,unknown,None,No,Skrill_Utorg_Wallet_3DEP
95,ApplePay Mastercard,Applepay_Rastpay_Cards_3DEP,Regular,3DEP,Any,Any,None,Not Set,EUR,unknown,None,No,Applepay_Rastpay_Cards_3DEP
96,Googlepay,Googlepay_Rampnow_Cards_3DEP,Regular,3DEP,Any,Any,None,Not Set,EUR,unknown,None,No,Googlepay_Rampnow_Cards_3DEP
97,Mifinity,Mifinity_Mifinity_Wallet,Regular,No Settings,Any,Any,None,Not Set,EUR,unknown,None,No,Mifinity_Mifinity_Wallet
98,SKRL,Skrill_Utorg_Wallet_0DEP//greylogo,Regular,0DEP,Any,Any,Grey Logo,Not Set,EUR,unknown,None,No,Skrill_Utorg_Wallet_0DEP//greylogo
